Name,Value
Halid Sabanovic,€250k  
Eros Maddy,€250k  
Pierrick Capelle,€250k  
Alan Do Marcolino,€200k  
Lucas Lavallée,€200k  
Ange Loïc N’Gatta,€150k  
Melvin Zinga,€150k  
Irvyn Lomami,€150k  
Josué Escartin,€150k  
Yassin Belkhdim,€100k  
Boubacar Fall,€100k  
Kévin Danois,€100k  
Sidiki Cherif,€100k  
Théo De Percin,€100k  
Raphaël Adiceam,€50k  
Guédé Nadje,€50k  
Antoine Gauthier,€50k  
Ismaïl Bouneb,€50k  
Lasso Coulibaly,€1.50m  
Milos Lukovic,€5.00m  
Junior Flemmings,€700k  
Abner Vinícius,€7.00m  
Doğan Alemdar,€2.50m  
Cher Ndour,€4.00m  
Juan Bernat,€4.00m  
Renato Sanches,€6.50m  
Mattia Viti,€5.00m  
Fabien Centonze,€3.00m  
Pol Lirola,€1.80m  
Matvey Safonov,€20.00m  
Said Hamulic,€800k  
Félix Lemaréchal,€5.00m  
Eliot Matazo,€5.00m  
Achraf Dari,€2.00m  
Hervé Koffi,€2.00m  
Eduard Sobol,€1.50m  
Mamadou Sarr,€1.00m  
Florent Sanchez,€350k  
Ousmane Dembélé,€60.00m  
Achraf Hakimi,€60.00m  
Warren Zaïre-Emery,€60.00m  
Nuno Mendes,€55.00m  
Bradley Barcola,€50.00m  
Leny Yoro,€50.00m  
Marquinhos,€50.00m  
Jonathan David,€50.00m  
Vítinha,€50.00m  
Gonçalo Ramos,€50.00m  
Randal Kolo Muani,€45.00m  
Manuel Ugarte,€45.00m  
Lucas Hernández,€40.00m  
Gianluigi Donnarumma,€40.00m  
Elye Wahi,€35.00m  
Jean-Clair Todibo,€35.00m  
Aleksandr Golovin,€30.00m  
Désiré Doué,€30.00m  
Folarin Balogun,€30.00m  
Youssouf Fofana,€30.00m  
Fabián Ruiz,€30.00m  
Milan Skriniar,€30.00m  
Lucas Beraldo,€30.00m  
Angel Gomes,€25.00m  
Rayan Cherki,€25.00m  
Denis Zakaria,€25.00m  
Maghnes Akliouche,€25.00m  
Facundo Medina,€25.00m  
Lucas Chevalier,€25.00m  
Edon Zhegrova,€25.00m  
Kevin Danso,€25.00m  
Wilfried Singo,€25.00m  
Terem Moffi,€25.00m  
Amine Gouiri,€25.00m  
Vanderson,€20.00m  
Marco Asensio,€20.00m  
Carlos Soler,€20.00m  
Leonardo Balerdi,€20.00m  
Caio Henrique,€20.00m  
Arthur Theate,€20.00m  
Orel Mangala,€20.00m  
Maxence Caqueret,€20.00m  
Mohamed Camara,€20.00m  
Marcin Bulka,€20.00m  
Saïd Benrahma,€20.00m  
Martin Terrier,€20.00m  
Arnaud Kalimuendo,€20.00m  
Takumi Minamino,€20.00m  
Bafodé Diakité,€18.00m  
Ismaïla Sarr,€18.00m  
Ernest Nuamah,€18.00m  
Guillaume Restes,€18.00m  
Habib Diarra,€18.00m  
Thijs Dallinga,€18.00m  
Enzo Le Fée,€18.00m  
Adrien Truffert,€18.00m  
Benjamin Bourigeaud,€18.00m  
Jordan Veretout,€15.00m  
Mohammed Salisu,€15.00m  
Ludovic Blas,€15.00m  
Gift Orban,€15.00m  
Jérémie Boga,€15.00m  
Youssouf Ndayishimiye,€15.00m  
Amine Harit,€15.00m  
Malick Fofana,€15.00m  
Brice Samba,€15.00m  
Eliesse Ben Seghir,€15.00m  
Chancel Mbemba,€15.00m  
Emanuel Emegha,€12.00m  
Valentin Rongier,€12.00m  
Logan Costa,€12.00m  
Jake O'Brien,€12.00m  
Lilian Brassier,€12.00m  
Sofiane Diop,€12.00m  
Presnel Kimpembe,€12.00m  
Bradley Locko,€12.00m  
Geoffrey Kondogbia,€12.00m  
Abakar Sylla,€12.00m  
Breel Embolo,€12.00m  
Azzedine Ounahi,€12.00m  
Melvin Bard,€12.00m  
Azor Matusiwa,€12.00m  
Jonathan Clauss,€12.00m  
Moses Simon,€12.00m  
Krépin Diatta,€12.00m  
Mahdi Camara,€10.00m  
Joris Chotard,€10.00m  
Dilane Bakwa,€10.00m  
Ismaël Doukouré,€10.00m  
Thilo Kehrer,€10.00m  
Quentin Merlin,€10.00m  
Pierre Lees-Melou,€10.00m  
Arouna Sangante,€10.00m  
Baptiste Santamaría,€10.00m  
Pau López,€10.00m  
Zakaria Aboukhlal,€10.00m  
Mohamed Daramy,€10.00m  
Akor Adams,€10.00m  
Nabil Bentaleb,€10.00m  
Faris Moumbagna,€10.00m  
Mostafa Mohamed,€10.00m  
Mohamed-Ali Cho,€10.00m  
Romain Del Castillo,€10.00m  
Nordi Mukiele,€10.00m  
Guillermo Maripán,€10.00m  
Gaëtan Laborde,€10.00m  
Marshall Munetsi,€10.00m  
Keito Nakamura,€9.00m  
Hicham Boudaoui,€9.00m  
Alidu Seidu,€9.00m  
Samuel Gigot,€9.00m  
Hákon Haraldsson,€9.00m  
Christian Mawissa,€9.00m  
Joseph Okumu,€9.00m  
Emmanuel Agbadou,€9.00m  
Alexandre Lacazette,€9.00m  
Alban Lafont,€9.00m  
Przemyslaw Frankowski,€9.00m  
Téji Savanier,€9.00m  
Andy Diouf,€9.00m  
Ainsley Maitland-Niles,€9.00m  
Luis Henrique,€8.00m  
Jordan Lotomba,€8.00m  
Pablo Rosario,€8.00m  
Evann Guessand,€8.00m  
Danilo Pereira,€8.00m  
Nicolás Tagliafico,€8.00m  
Benjamin André,€8.00m  
Alexsandro Ribeiro,€8.00m  
Daler Kuzyaev,€8.00m  
Mousa Al Ta'mari,€8.00m  
Neil El Aynaoui,€8.00m  
Kassoum Ouattara,€8.00m  
Yehvann Diouf,€8.00m  
David Pereira da Costa,€8.00m  
Warmed Omari,€8.00m  
Duje Caleta-Car,€7.00m  
Guela Doué,€7.00m  
Saël Kumbedi,€7.00m  
Sergio Akieme,€7.00m  
Angelo Fulgini,€7.00m  
Junior Mwanga,€7.00m  
Pedro Chirivella,€7.00m  
Chrislain Matsima,€7.00m  
Hugo Magnetti,€7.00m  
Teddy Teuma,€7.00m  
Étienne Youté,€7.00m  
Oumar Diakité,€6.00m  
Becir Omeragic,€6.00m  
Bamo Meïté,€6.00m  
Douglas Augusto,€6.00m  
Thomas Foket,€6.00m  
Lucas Perri,€6.00m  
Johann Lepenant,€6.00m  
Rasmus Nicolaisen,€6.00m  
Amir Richardson,€6.00m  
Christopher Wooh,€6.00m  
Philipp Köhn,€5.00m  
Ruben Aguilar,€5.00m  
Jérémy Le Douaron,€5.00m  
Pierre-Emerick Aubameyang,€5.00m  
Senny Mayulu,€5.00m  
Gabriel Gudmundsson,€5.00m  
Mohamed Bayo,€5.00m  
Radoslaw Majecki,€5.00m  
Nathan Zeze,€5.00m  
Kiki Kouyaté,€5.00m  
Arnau Tenas,€5.00m  
Adrien Thomasson,€5.00m  
Badredine Bouanani,€5.00m  
Yassine Kechta,€5.00m  
Kamory Doumbia,€5.00m  
Khalil Fayad,€5.00m  
Corentin Tolisso,€5.00m  
Jordan Ferri,€4.50m  
Stijn Spierings,€4.50m  
Jonathan Gradit,€4.50m  
Ibrahim Salah,€4.00m  
Adryelson,€4.00m  
Yann Gboho,€4.00m  
Wesley Saïd,€4.00m  
Ayman Kari,€4.00m  
Vincent Sierro,€4.00m  
Sinaly Diomandé,€4.00m  
Cristian Cásseres,€4.00m  
Thibault De Smet,€4.00m  
Deiver Machado,€4.00m  
Frédéric Guilbert,€4.00m  
Ulisses Garcia,€4.00m  
Mama Baldé,€4.00m  
Christopher Opéri,€4.00m  
Anthony Lopes,€4.00m  
Clinton Mata,€4.00m  
Amir Murillo,€4.00m  
Marco Bizot,€4.00m  
Falaye Sacko,€4.00m  
Bertug Yildirim,€3.50m  
Gabriel Suazo,€3.50m  
Aron Dønnum,€3.50m  
Alan Virginius,€3.50m  
Bertuğ Yıldırım,€3.50m  
Jean-Kévin Duverne,€3.50m  
Benjamin Lecomte,€3.50m  
Nemanja Matic,€3.00m  
Mahamadou Diawara,€3.00m  
Reda Khadra,€3.00m  
Tom Louchet,€3.00m  
Morgan Guilavogui,€3.00m  
Modibo Sagnan,€3.00m  
Tiago Morais,€3.00m  
Nampalys Mendy,€3.00m  
Ignatius Ganago,€3.00m  
Abdoulaye Touré,€3.00m  
Gautier Lloris,€3.00m  
Kenny Lala,€3.00m  
Josué Casimir,€3.00m  
Lucas Perrin,€3.00m  
Andrej Ilic,€3.00m  
Florian Sotoca,€3.00m  
Mikkel Desler,€3.00m  
Niklas Schmidt,€3.00m  
Frank Magri,€3.00m  
Andrej Ilic,€3.00m  
Arthur Desmas,€2.50m  
Mathias Pereira Lage,€2.50m  
Samuel Umtiti,€2.50m  
Jimmy Cabot,€2.50m  
Christopher Jullien,€2.50m  
Abdukodir Khusanov,€2.50m  
Saïdou Sow,€2.50m  
Kelvin Amian,€2.50m  
Tino Kadewere,€2.50m  
Issiaga Sylla,€2.50m  
Emmanuel Sabbi,€2.50m  
Rassoul Ndiaye,€2.50m  
Oussama Targhalline,€2.50m  
Enzo Tchato,€2.50m  
Yoram Zague,€2.50m  
Ignacio Miramón,€2.50m  
Edan Diop,€2.00m  
Massadio Haïdara,€2.00m  
Warren Kamanzi,€2.00m  
Shavy Babicka,€2.00m  
Jim Allevinah,€2.00m  
Jhoanner Chávez,€2.00m  
Moïse Sahi,€2.00m  
Rubén Blanco,€2.00m  
Tanguy Coulibaly,€2.00m  
Alaa Bellaarouch,€2.00m  
Marvin Senaya,€2.00m  
Florent Mollet,€1.80m  
Ismaily,€1.80m  
Wahbi Khazri,€1.80m  
César Gelabert,€1.50m  
Alexis Beka Beka,€1.50m  
Antoine Joujou,€1.50m  
Marcus Coco,€1.50m  
Yoann Salmier,€1.50m  
Paul Akouokou,€1.50m  
Mohamed El Arouch,€1.50m  
Denis Genreau,€1.50m  
Rafael Fernandes,€1.50m  
Maxime Dupé,€1.50m  
Maxime Busi,€1.50m  
Samuel Grandsir,€1.50m  
Julien Le Cardinal,€1.50m  
Ethan Mbappé,€1.50m  
Dejan Lovren,€1.20m  
Dimitry Bertaud,€1.20m  
Gauthier Gallon,€1.20m  
Jordan Amavi,€1.20m  
Emran Soglo,€1.00m  
Théo Sainte-Luce,€1.00m  
Jonas Martin,€1.00m  
Thomas Delaine,€1.00m  
Valentin Atangana,€1.00m  
Emran Soglo,€1.00m  
Loïc Négo,€900k  
Oualid El Hajjam,€800k  
Aliou Baldé,€800k  
Andy Logbo,€800k  
Thérence Koudou,€800k  
Antoine Mendy,€800k  
Steve Mandanda,€800k  
Jean-Eudes Aholou,€800k  
Bastien Meupiyou,€800k  
Mamadou Diakhon,€700k  
Karol Fila,€700k  
Nicolas Pallois,€600k  
Yunis Abdelhamid,€600k  
Adama Bojang,€500k  
Jérémy Sebas,€500k  
Dante,€500k  
Axel Camblan,€500k  
Mahamadou Nagida,€500k  
Bilal Nadir,€500k  
Mathis Lambourde,€500k  
Mahamadou Nagida,€500k  
Bilal Nadir,€500k  
Axel Camblan,€500k  
Mathis Lambourde,€500k  
Jérémy Jacquet,€500k  
Alexandre Olliero,€400k  
Steve Ngoura,€400k  
Naatan Skyttä,€400k  
Grégoire Coudert,€400k  
Álex Domínguez,€300k  
Sacha Delaye,€300k  
Justin Bengui Joao,€300k  
Simon Ngapandouetnbu,€300k  
Amidou Doumbouya,€300k  
Othmane Maamma,€300k  
Aloïs Confais,€250k  
Lisandru Olmeta,€200k  
Mathieu Gorgelin,€200k  
Trévis Dago,€200k  
Yann Lienard,€200k  
Belmin Dizdarevic,€200k  
Vito Mannone,€200k  
Aboubacar Ali Abdallah,€150k  
Geoffrey Lembet,€150k  
Matthieu Dreyer,€150k  
Yan Marillat,€150k  
Yannick Pandor,€100k  
Luck Zogbé,€100k  
Joffrey Bazié,€100k  
Ludovic Butelle,€100k  
Teddy Boulhendi,€100k  
Nolan Bonte,€50k  
Cheick Doumbia,€50k  
Steven Baseya,€50k  
Justin Lacombe,€50k  
Daouda Traoré,€50k  
Kléri Serber,€250k  
Myron Boadu,€5.00m  
Carlens Arcus,€700k  
Yann Kitala,€700k  
Tanguy Ndombélé,€8.00m  
Adam Buksa,€6.00m  
Ismaël Gharbi,€7.50m  
Rareș Ilie,€3.00m  
Xavi Simons,€80.00m  
Amin Sarr,€4.00m  
Ben Old,€400k  
Moussa Niakhaté,€16.00m  
Lorenz Assignon,€10.00m  
Noha Lemina,€500k  
Ismaël Koné,€11.00m  
Charlie Cresswell,€4.00m  
Ilyes Housni,€2.80m  
Junya Ito,€8.00m
Tiago Santos,€15.00m
Brendan Chardonnet,€8.00m
Lee Kang-In,€25.00m
Wissam Ben Yedder,€8.00m
Morgan Sanson,€8.00m
Nabil Alioui,€3.20m
Rémy Cabella,€3.50m
André Ayew,€1.00m
Jean-Charles Castelletto,€3.50m
Soungoutou Magassa,€8.00m
Matthis Abline,€6.00m
Yusuf Yazici,€10.00m
Adam Ounas,€4.00m
Maxime Gonalons,€0.70m
Shamar Nicholson,€5.00m
Kévin N'Doram,€1.50m
Ivan Cavaleiro,€2.00m
Alexis Claude-Maurice,€3.50m
Kevin Gameiro,€0.70m
Abdoul Kader Bamba,€0.90m
Samuel Moutoussamy,€3.00m
Mehdi Zeffane,€0.50m
Grejohn Kyei,€1.50m
Salis Abdul Samed,€8.00m
Léo Leroy,€1.00m
Billal Brahimi,€3.00m
Ismail Jakobs,€8.00m
Arnaud Nordin,€8.00m
