Name,Value
Alphonse Areola,€10.00m  
Mads Roerslev,€10.00m  
Abdoulaye Doucouré,€10.00m  
Tommy Doyle,€10.00m  
Issa Kaboré,€10.00m  
Antoine Semenyo,€10.00m  
Pablo Sarabia,€10.00m  
Yegor Yarmolyuk,€10.00m  
Kieran Trippier,€10.00m  
Maxwel Cornet,€9.00m  
Frank Onyeka,€9.00m  
Chermiti,€9.00m  
Adama Traoré,€9.00m  
Stefan Ortega,€9.00m  
Deivid Washington,€9.00m  
Will Hughes,€9.00m  
Ross Barkley,€8.00m  
Ben Johnson,€8.00m  
Pascal Groß,€8.00m  
Santiago Bueno,€8.00m  
Dan Burn,€8.00m  
Danny Ings,€8.00m  
Vladimír Coufal,€8.00m  
Christian Eriksen,€8.00m  
Naouirou Ahamada,€8.00m  
Odysseas Vlachodimos,€7.00m  
Jamaal Lascelles,€7.00m  
Chris Wood,€7.00m  
Matz Sels,€7.00m  
Jeffrey Schlupp,€7.00m  
Matt Turner,€7.00m  
Hugo Bueno,€6.00m  
Boubacar Traoré,€6.00m  
Chris Mepham,€6.00m  
Michael Keane,€6.00m  
Raúl Jiménez,€5.00m  
Bobby De Cordova-Reid,€5.00m  
Willy Kambwala,€5.00m  
Danny Welbeck,€5.00m  
Harry Toffolo,€5.00m  
Mason Holgate,€5.00m  
Alfie Gilchrist,€5.00m  
Rob Holding,€5.00m  
Jordan Ayew,€4.00m  
Tim Iroegbunam,€4.00m  
Calum Chambers,€4.00m  
Michail Antonio,€4.00m  
Malang Sarr,€4.00m  
Jason Steele,€3.50m  
Yunus Emre Konak,€3.50m  
Mark Travers,€3.50m  
Diego Moreira,€3.00m  
Matt Doherty,€3.00m  
Idrissa Gueye,€3.00m  
Lewis Dobbin,€2.50m  
Emil Krafth,€2.50m  
Hákon Rafn Valdimarsson,€2.50m  
Willy Boly,€2.50m  
Neto,€2.50m  
Kaine Kesler-Hayden,€2.20m  
James Hill,€2.00m  
Kortney Hause,€2.00m  
Craig Dawson,€2.00m  
Tom Cairney,€2.00m  
Jesurun Rak-Sakyi,€2.00m  
Daniel Bentley,€2.00m  
Jonny Evans,€2.00m  
Karl Hein,€2.00m  
Rhys Williams,€1.80m  
Nathaniel Clyne,€1.50m  
Robin Olsen,€1.50m  
Joe Gauci,€1.50m  
Fraser Forster,€1.20m  
Joel Ward,€1.00m  
Nathan Fraser,€1.00m  
Zanka,€1.00m  
Ben Mee,€1.00m  
Joe Whitworth,€1.00m  
Marcus Bettinelli,€1.00m  
Bobby Clark,€1.00m  
Adam Smith,€1.00m  
Leon Chiwome,€1.00m  
Steven Benda,€1.00m  
George Earthy,€1.00m  
Martin Dúbravka,€1.00m  
Adam Lallana,€1.00m  
James Milner,€1.00m  
Wes Foderingham,€900k  
Aaron Cresswell,€900k  
Tim Ream,€800k  
João Virgínia,€800k  
Lukasz Fabianski,€700k  
Tom McGill,€600k  
Brandon Austin,€600k  
Remi Matthews,€500k  
Alfie Whiteman,€500k  
Ashley Young,€500k  
Séamus Coleman,€500k  
Mark Gillespie,€300k  
Ryan Trevitt,€275k  
Tom Heaton,€250k  
Scott Carson,€200k  
Kiernan Dewsbury-Hall,€30.00m  
Taylor Harwood-Bellis,€22.00m  
Kyle Walker-Peters,€20.00m  
Wout Faes,€20.00m  
Archie Gray,€18.00m  
Adam Armstrong,€16.00m  
James Justin,€15.00m  
Gavin Bazunu,€15.00m  
Fábio Carvalho,€14.00m  
Kamaldeen Sulemana,€13.00m  
Harry Winks,€12.00m  
Patson Daka,€12.00m  
Jan Bednarek,€11.00m  
Stephy Mavididi,€11.00m  
Shea Charles,€10.00m  
Issahaku Fatawu,€10.00m  
Mads Hermansen,€9.00m  
Leif Davis,€9.00m  
Flynn Downes,€9.00m  
Ricardo Pereira,€8.00m  
Harry Souttar,€8.00m  
David Brooks,€8.00m  
Samuel Edozie,€8.00m  
Conor Chaplin,€7.00m  
Omari Hutchinson,€7.00m  
Jaidon Anthony,€6.00m  
Luke Thomas,€6.00m  
Sékou Mara,€6.00m  
Will Smallbone,€5.00m  
Joe Aribo,€5.00m  
Luke Cundle,€5.00m  
Nathan Broadhead,€5.00m  
Harry Clarke,€5.00m  
Lewis O'Brien,€5.00m  
Ki-Jana Hoever,€4.50m  
Juan Larios,€4.50m  
Hamza Choudhury,€4.50m  
Jeremy Sarmiento,€4.50m  
Yasin Ayari,€4.50m  
Ross Stewart,€4.50m  
Emmanuel Dennis,€4.20m  
George Hirst,€4.00m  
Tom Cannon,€4.00m  
Josh Wilson-Esbrand,€4.00m  
Nathan Wood,€3.80m  
Jay Stansfield,€3.50m  
Nathaniel Phillips,€3.50m  
Jamal Lewis,€3.50m  
Daniel Iversen,€3.00m  
Carl Rushworth,€3.00m  
Conor Coady,€3.00m  
Ryan Fraser,€3.00m  
Andrew Moran,€3.00m  
Ryan Manning,€3.00m  
Joe Rothwell,€2.50m  
Axel Tuanzebe,€2.20m  
James Bree,€2.20m  
Ashley Phillips,€2.20m  
Callum Marshall,€2.00m  
Luke Woolfenden,€2.00m  
Jack Stephens,€2.00m  
Kieffer Moore,€2.00m  
Lino Sousa,€2.00m  
Jack Taylor,€1.80m  
Danny Ward,€1.80m  
Isaac Hayden,€1.80m  
Wes Burns,€1.50m  
Cameron Burgess,€1.50m  
Josh Bowler,€1.50m  
Joe Hodge,€1.50m  
Harrison Ashby,€1.20m  
Ali Al-Hamadi,€1.00m  
Jamie Vardy,€1.00m  
Kasey McAteer,€900k  
Christian Walton,€900k  
Sam Morsy,€900k  
Marcus Harness,€800k  
Joe Lumley,€600k  
Massimo Luongo,€500k  
Alex McCarthy,€500k  
Jakub Stolarczyk,€400k  
Cameron Humphreys,€400k  
George Edmundson,€350k  
Cieran Slicker,€300k  
Wanya Marçal,€300k  
Samuel Amo-Ameyaw,€300k  
Janoi Donacien,€300k  
John Ruddy,€200k  
Andy Irving,€2.00m  
Philippe Coutinho,€7.50m  
Michael Golding,€300k  
Joe White,€300k  
Chem Campbell,€900k  
Matthew Cox,€800k  
Viljami Sinisalo,€600k  
Fin Stevens,€450k  
Marc Leonard,€450k  
Ed Turns,€400k  
Paris Maghoma,€350k  
Jensen Weir,€300k  
Freddie Ladapo,€500k  
Elkan Baggott,€250k  
