Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Federico Valverde,"Real Madrid, ",25,",  M(CLR)  ",33(4),2911	,2	,7	,1.5	,1.3	,0.6	,0.4	,-	,0.3	,0.8	,7.12
Yangel Herrera,"Girona, ",26,",  M(C)  ",27(2),2121	,5	,-	,1.8	,0.6	,0.8	,2.1	,0.1	,1.7	,1.7	,7.11
Lamine Yamal,"Barcelona, ",16,",  AM(R)  ",22(15),2200	,5	,5	,1.6	,1	,1.9	,1.4	,0.1	,0.7	,1.5	,7.11
Takefusa Kubo,"Real Sociedad, ",23,",  AM(CLR),FW  ",24(6),2155	,7	,4	,1.5	,1.9	,1.8	,1.7	,0.3	,0.9	,2	,7.11
João Cancelo,"Barcelona, ",30,",  D(LR),M(LR)  ",29(3),2506	,2	,4	,1	,1.1	,1.9	,0.8	,0.1	,0.8	,1.7	,7.09
Artem Dovbyk,"Girona, ",27,",  FW  ",32(4),2606	,24	,8	,2.4	,0.8	,0.5	,0.4	,0.9	,1.1	,1.4	,7.08
Aleix García,"Girona, ",27,",  DMC  ",36(1),3201	,3	,6	,1.1	,1.5	,0.4	,1	,-	,0.4	,0.7	,7.08
Sergio Ramos,"Sevilla, ",38,",  D(CR)  ",28,2518	,3	,-	,1	,0.1	,0.2	,0.8	,0.3	,0.2	,0.5	,7.06
Brahim Díaz,"Real Madrid, ",24,",  AM(CLR),FW  ",18(13),1553	,8	,6	,1.2	,1	,1.8	,1.3	,0.2	,1.4	,1.5	,7.06
Ante Budimir,"Osasuna, ",32,",  FW  ",29(4),2449	,17	,2	,2.3	,0.4	,0.3	,0.8	,0.8	,0.9	,2.5	,7.06
Pepelu,"Valencia, ",25,",  DMC  ",37,3305	,7	,1	,0.9	,1.5	,0.3	,1.1	,-	,0.6	,0.4	,7.04
Antonio Raíllo,"Mallorca, ",32,",  D(C)  ",25(1),2203	,3	,2	,1.1	,0.3	,-	,0.3	,0.1	,0.3	,0.4	,7.03
Iago Aspas,"Celta Vigo, ",36,",  AM(CR),FW  ",31(4),2716	,9	,10	,2.3	,2.6	,0.8	,1.7	,0.3	,1	,1.5	,7.01
Ayoze Pérez,"Real Betis, ",30,",  AM(CLR),FW  ",29(2),2309	,9	,1	,2.2	,1	,1.6	,1.5	,0.4	,1.6	,2.3	,7.00
Aurélien Tchouaméni,"Real Madrid, ",24,",  D(C),DMC  ",22(5),1987	,3	,1	,1	,0.4	,0.2	,0.8	,-	,0.4	,0.5	,7.00
Viktor Tsyhankov,"Girona, ",26,",  M(CLR)  ",26(4),2067	,8	,7	,1.5	,1.1	,0.7	,1.4	,0.1	,1.2	,1.5	,6.99
Raphinha,"Barcelona, ",27,",  AM(LR),FW  ",17(11),1373	,6	,9	,2.1	,1.5	,0.9	,0.9	,0.3	,0.3	,1.5	,6.99
Eduardo Camavinga,"Real Madrid, ",21,",  D(L),DMC  ",21(10),1826	,-	,2	,0.5	,0.6	,1.2	,2.2	,-	,0.8	,0.8	,6.98
Álex Baena,"Villarreal, ",22,",  AM(CL),FW  ",33(1),2599	,2	,14	,2.1	,2.5	,0.8	,1.7	,0.2	,1	,1.9	,6.97
Borja Mayoral,"Getafe, ",27,",  AM(R),FW  ",25(2),2165	,15	,1	,1.7	,0.7	,0.7	,1.2	,0.5	,1	,2.6	,6.95
Andrii Lunin,"Real Madrid, ",25,",  GK  ",21,1890	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.94
Lucas Ocampos,"Sevilla, ",29,",  M(CLR),FW  ",34(1),2887	,4	,3	,1.8	,1	,1.4	,2	,0.2	,1.6	,2.8	,6.93
Dani Carvajal,"Real Madrid, ",32,",  D(R)  ",25(3),2177	,4	,3	,0.6	,0.8	,0.3	,0.7	,0.1	,0.6	,0.8	,6.92
Paulo Gazzaniga,"Girona, ",32,",  GK  ",38,3420	,-	,-	,-	,0.1	,0.2	,0.2	,-	,-	,0.1	,6.92
Samuel Lino,"Atletico, ",24,",  D(L),M(LR),FW  ",25(9),2092	,4	,5	,1.6	,1	,1.2	,1.6	,0.3	,1	,1.2	,6.91
Loïc Badé,"Sevilla, ",24,",  D(C)  ",27(1),2284	,-	,1	,0.5	,0.3	,0.4	,0.4	,-	,0.1	,0.4	,6.91
Bryan Zaragoza,"Granada, ",22,",  AM(LR)  ",18(3),1640	,6	,2	,1.6	,1.1	,2.5	,1.6	,0.7	,0.5	,2.5	,6.91
Brais Méndez,"Real Sociedad, ",27,",  AM(CR),FW  ",27(5),2422	,5	,6	,2.1	,1.3	,0.8	,1.8	,0.1	,0.9	,1.8	,6.91
Luka Modric,"Real Madrid, ",38,",  M(C)  ",18(14),1688	,2	,6	,0.8	,1.7	,0.7	,0.7	,0.1	,0.6	,0.4	,6.90
Eric García,"Girona, ",23,",  D(CR)  ",30,2641	,5	,-	,0.5	,0.3	,0.1	,0.9	,0.1	,0.3	,0.6	,6.88
Martín Zubimendi,"Real Sociedad, ",25,",  DMC  ",29(2),2655	,4	,1	,0.7	,0.5	,0.4	,0.6	,-	,0.5	,0.8	,6.88
Pedri,"Barcelona, ",21,",  AM(CL)  ",16(8),1476	,4	,2	,0.6	,1.5	,0.7	,0.9	,-	,0.6	,1.3	,6.87
Mason Greenwood,"Getafe, ",22,",  AM(LR),FW  ",30(3),2668	,8	,6	,3.1	,1.1	,2.2	,1.3	,-	,1.5	,1.9	,6.87
Jules Koundé,"Barcelona, ",25,",  D(CR)  ",32(3),2899	,1	,2	,0.7	,0.7	,0.5	,0.5	,0.1	,0.3	,0.7	,6.86
Sergi Cardona,"Las Palmas, ",25,",  D(L)  ",30(5),2816	,1	,2	,0.7	,1.1	,0.5	,1.7	,0.1	,0.6	,1.3	,6.86
Álvaro Morata,"Atletico, ",31,",  AM(L),FW  ",21(11),1912	,15	,3	,2.1	,0.5	,0.5	,1.1	,1	,1	,1.3	,6.85
João Félix,"Barcelona, ",24,",  AM(CL),FW  ",18(12),1544	,7	,3	,2	,0.6	,1	,1.8	,0.3	,1.1	,1.4	,6.85
Marc Pubill,"Almeria, ",21,",  D(R)  ",22(1),1889	,1	,3	,0.9	,0.9	,1.4	,1.5	,-	,0.6	,1.4	,6.85
Vedat Muriqi,"Mallorca, ",30,",  FW  ",25(4),2330	,7	,2	,2.2	,1.2	,0.4	,1.5	,1.1	,1.2	,2.8	,6.84
Lucas Vázquez,"Real Madrid, ",33,",  D(R),M(R)  ",14(15),1412	,3	,6	,0.4	,1	,0.8	,0.9	,0.2	,0.5	,0.6	,6.84
Youssef En-Nesyri,"Sevilla, ",27,",  FW  ",28(5),2576	,16	,2	,2.2	,0.3	,0.3	,0.7	,0.7	,0.5	,1.8	,6.84
Álvaro Vallés,"Las Palmas, ",26,",  GK  ",37,3264	,-	,-	,-	,-	,-	,0.2	,-	,-	,0.1	,6.83
Miguel Gutiérrez,"Girona, ",22,",  D(L),M(L)  ",35,3037	,2	,7	,1	,1.2	,0.7	,0.7	,0.2	,0.9	,1.6	,6.83
Yuri Berchiche,"Athletic Club, ",34,",  D(L),M(L)  ",22(5),1934	,3	,1	,0.7	,0.5	,0.3	,1.2	,-	,0.4	,0.4	,6.83
Jørgen Strand Larsen,"Celta Vigo, ",24,",  FW  ",36(1),2889	,13	,3	,2.2	,0.6	,0.8	,1.3	,0.6	,1.4	,3.1	,6.82
Diego Rico,"Getafe, ",31,",  D(CL),M(L)  ",28(4),2538	,-	,7	,0.6	,1.2	,0.3	,1.7	,0.1	,0.6	,1	,6.81
Germán Pezzella,"Real Betis, ",33,",  D(C)  ",32,2771	,1	,-	,0.7	,0.1	,0.1	,0.4	,0.2	,0.1	,0.6	,6.81
Marc-André ter Stegen,"Barcelona, ",32,",  GK  ",28,2520	,-	,-	,-	,-	,-	,-	,-	,-	,-	,6.80
Óscar De Marcos,"Athletic Club, ",35,",  D(LR),M(CR)  ",26(2),2263	,1	,5	,0.2	,0.8	,0.2	,0.4	,0.2	,0.2	,0.5	,6.80
Guido Rodríguez,"Real Betis, ",30,",  DMC  ",22(2),1852	,2	,-	,0.8	,0.2	,0.4	,1.5	,0.2	,0.7	,0.8	,6.80
Lucas Robertone,"Almeria, ",27,",  M(C)  ",29(4),2392	,-	,5	,1.1	,1	,0.2	,1.6	,0.1	,0.5	,0.8	,6.80
Renato Tapia,"Celta Vigo, ",28,",  D(C),DMC  ",15(6),1338	,-	,-	,0.9	,0.3	,1.3	,1.3	,-	,0.5	,1	,6.80
Daley Blind,"Girona, ",34,",  D(CL),DMC,M(L)  ",33(1),2972	,1	,2	,0.5	,0.5	,0.5	,0.4	,-	,0.1	,0.5	,6.80
Pablo Barrios,"Atletico, ",21,",  M(C)  ",17(7),1559	,-	,1	,0.7	,0.7	,1.5	,1	,-	,1	,1.7	,6.79
Giorgi Mamardashvili,"Valencia, ",23,",  GK  ",37,3289	,-	,-	,-	,0.1	,-	,0.1	,-	,-	,0.1	,6.79
Unai Simón,"Athletic Club, ",27,",  GK  ",36,3184	,-	,-	,-	,-	,-	,0.2	,-	,-	,-	,6.79
Iván Martín,"Girona, ",25,",  M(CR)  ",33(3),2747	,5	,4	,0.5	,0.8	,1.1	,0.9	,0.1	,1.1	,1.8	,6.79
Filip Jørgensen,"Villarreal, ",22,",  GK  ",36,3240	,-	,-	,-	,-	,-	,0.1	,-	,-	,0.1	,6.79
Íñigo Ruíz de Galarreta,"Athletic Club, ",30,",  DMC  ",25(4),2106	,1	,1	,0.4	,0.9	,0.8	,1.4	,-	,1	,0.8	,6.78
Carl Starfelt,"Celta Vigo, ",29,",  D(C)  ",26(1),2221	,1	,-	,0.4	,0.1	,-	,0.4	,-	,-	,0.2	,6.78
Rodrigo De Paul,"Atletico, ",30,",  AM(CLR),FW  ",25(9),2088	,3	,5	,0.9	,1.1	,0.8	,1.7	,-	,0.4	,1	,6.77
Robin Le Normand,"Real Sociedad, ",27,",  D(C)  ",28(1),2473	,2	,-	,0.3	,0.1	,-	,0.8	,-	,0.2	,0.6	,6.77
Pau Cubarsí,"Barcelona, ",17,",  D(C)  ",18(1),1563	,-	,-	,0.2	,0.3	,0.2	,0.1	,-	,0.2	,0.2	,6.77
Jonathan Bamba,"Celta Vigo, ",28,",  AM(CLR),FW  ",24(3),1997	,3	,2	,1.5	,1.4	,1.6	,2.4	,0.3	,0.9	,1.8	,6.76
Lucas Boyé,"Granada, ",28,",  AM(L),FW  ",30(1),2555	,6	,3	,1.8	,0.8	,1.7	,1.4	,0.3	,2.8	,3.7	,6.76
Ronald Araujo,"Barcelona, ",25,",  D(CR)  ",21(4),1996	,1	,2	,0.9	,0.3	,0.3	,0.4	,-	,0.2	,0.6	,6.75
Nemanja Maksimovic,"Getafe, ",29,",  M(C)  ",37,3272	,4	,-	,0.9	,0.5	,0.2	,0.4	,-	,0.2	,0.6	,6.74
Ørjan Nyland,"Sevilla, ",33,",  GK  ",24,2160	,-	,-	,-	,0.1	,-	,0.1	,-	,-	,0.1	,6.74
Mario Hermoso,"Atletico, ",29,",  D(CL)  ",29(2),2558	,-	,1	,0.5	,0.5	,0.4	,0.7	,-	,0.4	,0.7	,6.74
José Gayà,"Valencia, ",29,",  D(L),M(L)  ",22(2),1799	,1	,2	,0.4	,1	,0.3	,0.5	,-	,0.3	,0.6	,6.74
Sergi Darder,"Mallorca, ",30,",  M(CLR)  ",21(15),2155	,2	,5	,0.9	,1.4	,0.9	,1	,-	,0.7	,1.3	,6.73
Florian Lejeune,"Rayo Vallecano, ",33,",  D(C)  ",37,3328	,3	,1	,1.8	,0.2	,0.1	,0.4	,0.1	,0.1	,0.4	,6.73
Unai Núñez,"Celta Vigo, ",27,",  D(C)  ",31(3),2802	,1	,-	,0.6	,0.3	,0.3	,0.7	,-	,0.1	,0.9	,6.73
Jan Oblak,"Atletico, ",31,",  GK  ",38,3420	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.73
Kike Salas,"Sevilla, ",22,",  D(C)  ",20(4),1609	,3	,-	,0.7	,0.2	,-	,0.4	,-	,0.3	,0.4	,6.73
Yan Couto,"Girona, ",22,",  D(R),M(R)  ",24(10),2246	,1	,8	,0.9	,0.8	,1.4	,1.2	,0.2	,1.1	,1.1	,6.73
Nabil Fekir,"Real Betis, ",30,",  AM(CLR),FW  ",10(9),1050	,1	,2	,1.5	,1.6	,1.1	,1.8	,0.4	,1.2	,2.3	,6.73
Kirian Rodríguez,"Las Palmas, ",28,",  DMC  ",36(1),3217	,6	,2	,1.2	,1	,0.7	,1	,-	,1.3	,1.3	,6.73
Álex Remiro,"Real Sociedad, ",29,",  GK  ",37,3276	,-	,-	,-	,-	,-	,0.1	,-	,-	,0.1	,6.72
Dani Parejo,"Villarreal, ",35,",  M(C)  ",29(4),2588	,3	,5	,0.4	,1	,0.6	,1.5	,-	,0.7	,0.5	,6.72
Vicente Guaita,"Celta Vigo, ",37,",  GK  ",26(1),2402	,-	,-	,-	,-	,-	,0.2	,-	,-	,0.1	,6.72
Conan Ledesma,"Cadiz, ",31,",  GK  ",34,3049	,-	,-	,-	,-	,0.1	,0.1	,-	,-	,-	,6.71
Joselu,"Real Madrid, ",34,",  FW  ",15(19),1676	,10	,2	,1.9	,0.4	,0.2	,0.4	,0.5	,0.3	,0.9	,6.71
Hugo Duro,"Valencia, ",24,",  AM(L),FW  ",35(2),2998	,13	,2	,1.8	,0.4	,0.4	,2.6	,0.5	,1	,2.5	,6.71
Ángel Correa,"Atletico, ",29,",  AM(CLR),FW  ",14(18),1528	,9	,2	,1.3	,1	,0.9	,1	,0.5	,1	,1.6	,6.71
Axel Witsel,"Atletico, ",35,",  D(C),M(C)  ",30(5),2784	,2	,-	,0.2	,0.1	,0.1	,0.8	,-	,0.2	,0.4	,6.71
Juan Miranda,"Real Betis, ",24,",  D(L)  ",21(4),1862	,1	,1	,0.6	,0.9	,0.3	,1.4	,0.1	,0.2	,0.9	,6.70
Sergio Arribas,"Almeria, ",22,",  AM(CR)  ",22(12),2057	,9	,4	,1.8	,1.2	,0.5	,1.2	,-	,0.5	,1.2	,6.70
Adri Embarba,"Almeria, ",32,",  AM(CLR),FW  ",29(7),2487	,3	,2	,1.8	,1.4	,1.3	,1.1	,0.4	,1	,2.2	,6.70
Nemanja Gudelj,"Sevilla, ",32,",  D(C),M(C)  ",20(2),1744	,1	,1	,0.9	,0.3	,0.2	,0.5	,-	,0.2	,0.4	,6.70
David López,"Girona, ",34,",  D(C),DMC  ",25,1977	,3	,-	,0.6	,0.2	,0.2	,0.6	,-	,0.1	,0.5	,6.69
Jorge Cuenca,"Villarreal, ",24,",  D(CL)  ",21(8),1963	,3	,1	,0.7	,0.2	,0.3	,0.4	,-	,0.1	,0.3	,6.69
Rui Silva,"Real Betis, ",30,",  GK  ",28,2476	,-	,-	,-	,-	,-	,0.3	,-	,-	,-	,6.69
Rubén Alcaraz,"Cadiz, ",33,",  DMC  ",36,3141	,3	,1	,1.3	,0.6	,0.3	,2	,-	,0.8	,0.8	,6.69
David García,"Osasuna, ",30,",  D(C)  ",27,2336	,-	,1	,0.6	,0.2	,0.1	,0.5	,-	,0.1	,0.3	,6.69
Matija Nastasic,"Mallorca, ",31,",  D(C)  ",25(1),2257	,2	,-	,0.3	,0.2	,-	,0.3	,0.1	,0.1	,0.2	,6.69
Koke,"Atletico, ",32,",  M(CLR)  ",32(3),2504	,-	,4	,0.3	,0.7	,0.1	,0.5	,-	,0.6	,0.6	,6.69
Luis Milla,"Getafe, ",29,",  DMC  ",25(2),2124	,-	,1	,0.6	,1.1	,0.4	,1.1	,-	,0.6	,1	,6.68
Isi Palazón,"Rayo Vallecano, ",29,",  AM(CR)  ",34(3),2810	,4	,1	,1.9	,1	,0.9	,2.1	,0.3	,1.8	,2.5	,6.68
Thierry Correia,"Valencia, ",25,",  D(R),M(R)  ",25(6),2162	,-	,2	,0.2	,0.6	,0.7	,1.3	,0.1	,0.3	,0.7	,6.68
Robert Navarro,"Cadiz, ",22,",  AM(LR)  ",24(4),1906	,1	,1	,1.1	,1.5	,1.9	,1	,0.1	,1.3	,2.1	,6.68
Samú Costa,"Mallorca, ",23,",  DMC  ",26(8),2307	,1	,1	,0.6	,0.4	,0.4	,1.4	,0.2	,0.6	,1.3	,6.68
Jesús Areso,"Osasuna, ",25,",  D(R)  ",29(8),2663	,1	,6	,0.2	,1	,1.2	,0.5	,0.1	,0.7	,1.4	,6.66
Antonio Rüdiger,"Real Madrid, ",31,",  D(CLR)  ",30(3),2708	,1	,-	,0.6	,0.2	,-	,0.2	,-	,0.1	,0.1	,6.66
Rubén Peña,"Osasuna, ",32,",  D(LR),M(LR),FW  ",26(3),2105	,-	,2	,0.6	,1	,1.2	,0.8	,0.2	,1.1	,1.6	,6.66
Óscar Mingueza,"Celta Vigo, ",25,",  D(CR),M(R)  ",33(5),3004	,2	,2	,0.7	,1.3	,0.9	,1.2	,-	,0.7	,0.8	,6.66
Chris Ramos,"Cadiz, ",27,",  FW  ",30(7),2627	,5	,1	,2.1	,0.4	,0.5	,1.2	,0.3	,1.4	,2.6	,6.66
Luis Rioja,"Deportivo Alaves, ",30,",  AM(LR)  ",31(6),2515	,5	,4	,1.5	,1.1	,1.1	,0.5	,0.3	,0.5	,1.5	,6.66
Fermín López,"Barcelona, ",21,",  AM(C)  ",14(17),1446	,8	,-	,1.6	,0.6	,0.7	,0.5	,0.3	,0.8	,1.6	,6.65
Marc Roca,"Real Betis, ",27,",  D(C),DMC  ",24(2),1988	,2	,2	,0.8	,0.7	,0.4	,0.9	,-	,0.7	,0.7	,6.65
Andreas Christensen,"Barcelona, ",28,",  D(C),DMC  ",27(3),1999	,2	,2	,0.4	,0.2	,0.1	,0.3	,-	,0.3	,0.2	,6.65
Marcos Llorente,"Atletico, ",29,",  D(R),M(CR),FW  ",29(8),2573	,6	,4	,0.8	,0.7	,0.3	,0.7	,0.5	,0.5	,0.8	,6.65
Dani Vivian,"Athletic Club, ",25,",  D(C)  ",31(2),2879	,-	,-	,0.3	,0.2	,0.2	,0.8	,-	,0.2	,0.8	,6.65
Óscar Valentín,"Rayo Vallecano, ",29,",  DMC  ",32(2),2702	,1	,-	,0.4	,0.3	,0.2	,1.2	,-	,0.3	,1	,6.65
Kieran Tierney,"Real Sociedad, ",27,",  D(CL),M(L)  ",14(6),1244	,-	,2	,0.1	,0.4	,0.4	,0.4	,-	,0.2	,0.7	,6.65
Saúl Ñíguez,"Atletico, ",29,",  D(CL),M(CLR)  ",14(20),1365	,1	,5	,0.5	,0.4	,0.2	,0.4	,0.1	,0.4	,0.8	,6.65
Predrag Rajkovic,"Mallorca, ",28,",  GK  ",36,3240	,-	,-	,-	,0.1	,0.1	,0.1	,-	,-	,-	,6.65
Julián Araujo,"Las Palmas, ",22,",  D(R),M(R)  ",15(10),1462	,1	,-	,0.3	,0.6	,0.5	,0.4	,0.1	,0.1	,1.2	,6.65
Beñat Prados,"Athletic Club, ",23,",  DMC  ",16(10),1452	,-	,-	,0.3	,0.4	,0.5	,0.9	,-	,0.7	,0.7	,6.64
Igor Zubeldia,"Real Sociedad, ",27,",  D(C),DMC  ",29(1),2524	,-	,2	,0.4	,0.3	,0.1	,0.3	,-	,0.1	,0.5	,6.64
Marcos Acuña,"Sevilla, ",32,",  D(CL),M(CL)  ",18(3),1304	,1	,2	,0.4	,1.1	,0.5	,0.8	,-	,0.8	,1	,6.64
Cristhian Mosquera,"Valencia, ",20,",  D(C)  ",33(3),3075	,-	,-	,0.3	,-	,0.2	,0.8	,-	,0.1	,0.4	,6.64
Oihan Sancet,"Athletic Club, ",24,",  M(C),FW  ",25(5),1993	,4	,5	,1.4	,1.4	,0.9	,1.2	,0.1	,1.4	,2.6	,6.64
Rubén García,"Osasuna, ",30,",  AM(CLR),FW  ",19(11),1552	,3	,2	,0.9	,1	,0.6	,0.9	,0.2	,0.8	,1	,6.63
Ferland Mendy,"Real Madrid, ",29,",  D(L),M(L)  ",21(2),1727	,-	,-	,0.2	,0.5	,0.6	,0.7	,-	,0.6	,0.9	,6.63
Iker Muñoz,"Osasuna, ",21,",  DMC  ",20(8),1855	,4	,-	,0.8	,0.2	,0.2	,2	,-	,0.1	,0.8	,6.63
Dani Rodríguez,"Mallorca, ",36,",  AM(CLR)  ",31(5),2635	,2	,4	,0.8	,1.3	,0.9	,1.2	,0.2	,1.7	,1.5	,6.63
Willian José,"Real Betis, ",32,",  FW  ",25(8),1984	,10	,5	,1.5	,0.8	,0.2	,0.6	,0.3	,0.8	,1	,6.63
Santi Comesaña,"Villarreal, ",27,",  M(C)  ",20(7),1656	,2	,-	,0.6	,0.4	,0.8	,0.8	,-	,0.7	,0.8	,6.63
Aihen Muñoz,"Real Sociedad, ",26,",  D(L)  ",11(10),1120	,-	,2	,0.3	,0.6	,0.5	,0.4	,-	,0.4	,0.7	,6.63
Mika Mármol,"Las Palmas, ",23,",  D(C)  ",36,3181	,-	,1	,0.1	,0.1	,0.5	,0.9	,0.1	,0.3	,0.4	,6.63
Diego López,"Valencia, ",22,",  AM(LR),FW  ",30(6),2672	,3	,6	,1.1	,1.1	,0.8	,0.9	,0.2	,0.8	,1.8	,6.62
Mikel Vesga,"Athletic Club, ",31,",  DMC  ",18(9),1537	,3	,1	,0.7	,0.3	,0.1	,0.2	,-	,0.4	,0.7	,6.61
Alberto Moleiro,"Las Palmas, ",20,",  AM(L)  ",21(7),1811	,3	,3	,1.2	,1	,2	,0.6	,0.1	,1	,2.1	,6.61
Jon Guridi,"Deportivo Alaves, ",29,",  M(C)  ",34(2),2697	,3	,4	,1	,0.9	,0.4	,0.8	,0.1	,0.8	,1	,6.61
Sergio Herrera,"Osasuna, ",31,",  GK  ",32,2870	,-	,-	,-	,-	,-	,0.2	,-	,-	,0.1	,6.61
Antonio Sivera,"Deportivo Alaves, ",27,",  GK  ",34,3060	,-	,-	,-	,0.1	,-	,0.1	,-	,-	,0.1	,6.61
Jon Pacheco,"Real Sociedad, ",23,",  D(C)  ",16(7),1521	,1	,1	,0.3	,0.1	,0.2	,-	,-	,0.1	,0.3	,6.61
Suso,"Sevilla, ",30,",  AM(CLR),FW  ",15(14),1516	,1	,4	,0.9	,1.4	,0.9	,1.2	,0.1	,0.8	,1.3	,6.61
Pathé Ciss,"Rayo Vallecano, ",30,",  DMC  ",16(15),1661	,1	,-	,0.7	,0.4	,0.5	,0.9	,0.1	,0.6	,0.6	,6.61
Rubén Duarte,"Deportivo Alaves, ",28,",  D(CL)  ",21(7),1877	,2	,1	,0.5	,0.6	,0.1	,1.1	,-	,0.1	,0.4	,6.60
Ander Herrera,"Athletic Club, ",34,",  M(C)  ",10(13),1023	,-	,3	,0.6	,0.5	,0.2	,0.5	,-	,0.3	,0.3	,6.60
Hamari Traoré,"Real Sociedad, ",32,",  D(R),M(R)  ",27(4),2301	,-	,2	,0.6	,0.9	,0.5	,0.6	,-	,0.3	,0.7	,6.60
Javi López,"Deportivo Alaves, ",22,",  D(L)  ",25(7),2387	,1	,3	,0.6	,0.4	,1.3	,0.9	,-	,0.6	,1.3	,6.60
Álvaro García,"Rayo Vallecano, ",31,",  AM(CL)  ",30(2),2492	,6	,1	,1.4	,1.2	,0.3	,0.7	,0.8	,0.3	,1.7	,6.60
Chadi Riad,"Real Betis, ",21,",  D(C)  ",24(2),2165	,-	,-	,0.4	,0.1	,-	,0.3	,-	,0.1	,0.3	,6.60
Abdul Mumin,"Rayo Vallecano, ",26,",  D(C)  ",19(1),1695	,1	,-	,0.3	,0.2	,0.1	,0.8	,-	,0.2	,0.4	,6.60
Juanlu Sánchez,"Sevilla, ",20,",  D(R)  ",11(15),1178	,-	,2	,0.4	,0.7	,1	,0.9	,-	,0.2	,0.8	,6.60
Iñigo Martínez,"Barcelona, ",33,",  D(C)  ",13(7),1293	,-	,-	,0.4	,0.1	,-	,0.6	,0.1	,-	,0.2	,6.60
Andoni Gorosabel,"Deportivo Alaves, ",27,",  D(R),M(R)  ",33(3),2865	,1	,-	,0.4	,0.4	,0.7	,1.1	,-	,0.8	,1	,6.60
Álex Suárez,"Las Palmas, ",31,",  D(CR)  ",30(2),2569	,2	,-	,0.2	,0.2	,0.3	,0.9	,0.1	,0.3	,0.5	,6.59
José Giménez,"Atletico, ",29,",  D(CR)  ",14(8),1325	,-	,-	,0.3	,0.1	,0.1	,0.1	,-	,-	,0.1	,6.59
Mikel Oyarzabal,"Real Sociedad, ",27,",  AM(CLR),FW  ",23(10),2160	,9	,3	,1.2	,0.6	,0.3	,0.6	,0.6	,0.8	,1.8	,6.59
Luís Maximiano,"Almeria, ",25,",  GK  ",33,2970	,-	,-	,-	,-	,0.1	,0.1	,-	,-	,-	,6.59
Íñigo Lekue,"Athletic Club, ",31,",  D(LR),M(LR)  ",22(5),2001	,-	,2	,0.2	,0.6	,0.7	,0.3	,-	,0.3	,0.6	,6.59
